File Name,Actor ID,Sentence Code,Sentence,Emotion,Intensity,Duration (s),Duration
1001_DFA_ANG_XX.wav,1001,DFA,Don't forget a jacket.,Angry,Unspecified,2.28,2.276
1001_DFA_DIS_XX.wav,1001,DFA,Don't forget a jacket.,Disgust,Unspecified,2.34,2.336
1001_DFA_FEA_XX.wav,1001,DFA,Don't forget a jacket.,Fear,Unspecified,2.17,2.169
1001_DFA_HAP_XX.wav,1001,DFA,Don't forget a jacket.,Happy,Unspecified,1.87,1.868
1001_DFA_NEU_XX.wav,1001,DFA,Don't forget a jacket.,Neutral,Unspecified,2.04,2.035
1001_DFA_SAD_XX.wav,1001,DFA,Don't forget a jacket.,Sad,Unspecified,2.0,2.002
1001_IEO_ANG_HI.wav,1001,IEO,It's eleven o'clock.,Angry,HI,1.94,1.935
1001_IEO_ANG_LO.wav,1001,IEO,It's eleven o'clock.,Angry,LO,2.07,2.069
1001_IEO_ANG_MD.wav,1001,IEO,It's eleven o'clock.,Angry,MD,2.64,2.636
1001_IEO_DIS_HI.wav,1001,IEO,It's eleven o'clock.,Disgust,HI,2.0,2.002
1001_IEO_DIS_LO.wav,1001,IEO,It's eleven o'clock.,Disgust,LO,2.0,2.002
1001_IEO_DIS_MD.wav,1001,IEO,It's eleven o'clock.,Disgust,MD,1.9,1.902
1001_IEO_FEA_HI.wav,1001,IEO,It's eleven o'clock.,Fear,HI,1.57,1.568
1001_IEO_FEA_LO.wav,1001,IEO,It's eleven o'clock.,Fear,LO,1.53,1.535
1001_IEO_FEA_MD.wav,1001,IEO,It's eleven o'clock.,Fear,MD,1.6,1.602
1001_IEO_HAP_HI.wav,1001,IEO,It's eleven o'clock.,Happy,HI,1.77,1.768
1001_IEO_HAP_LO.wav,1001,IEO,It's eleven o'clock.,Happy,LO,1.7,1.702
1001_IEO_HAP_MD.wav,1001,IEO,It's eleven o'clock.,Happy,MD,1.67,1.668
1001_IEO_NEU_XX.wav,1001,IEO,It's eleven o'clock.,Neutral,Unspecified,1.6,1.602
1001_IEO_SAD_HI.wav,1001,IEO,It's eleven o'clock.,Sad,HI,2.0,2.002
1001_IEO_SAD_LO.wav,1001,IEO,It's eleven o'clock.,Sad,LO,1.9,1.902
1001_IEO_SAD_MD.wav,1001,IEO,It's eleven o'clock.,Sad,MD,1.74,1.735
1001_IOM_ANG_XX.wav,1001,IOM,I'm on my way to the meeting.,Angry,Unspecified,2.14,2.135
1001_IOM_DIS_XX.wav,1001,IOM,I'm on my way to the meeting.,Disgust,Unspecified,2.27,2.269
